route,401,401_1,401_2,401_3,401_4,401_5,401_6,401_7,401_8,401_9,401_10,401_11,401_12,401_13,401_14,401_15,401_16,401_17,401_18,401_19,401_20,401_21,401_22,401_23,401_24,401_25,401_26,401_27,401_28,401_29,401_30,401_31,401_32,401_33,401_34,401_35,401_36,401_37,401_38,401_39,401_40,401_41,401_42,401_43,401_44,401_45,401_46,401_47,401_48,401_49,401_50,401_51,401_52,401_53,route_id,402,402_1,402_2,402_3,402_4,402_5,402_6,402_7,402_8,402_9,402_10,402_11,402_12,402_13,402_14,402_15,402_16,402_17,402_18,402_19,402_20,402_21,402_22,402_23,402_24,402_25,402_26,402_27,402_28,402_29,404,404_1,404_2,404_3,404_4,404_5,404_6,404_7,404_8,404_9,404_10,404_11,404_12,404_13,404_14,404_15,404_16,404_17,404_18,404_19,404_20,404_21,404_22,404_23,404_24,404_25,404_26,404_27,404_28,404_29,404_30,404_31,404_32,404_33,404_34,404_35,404_36,405,405_1,405_2,405_3,405_4,405_ssuo,405_5,405_so,405_6,405_ssuo_1,405_7,405_so_1,405_8,405_ssuo_2,405_9,405_10,405_11,405_12,405_13,405_14,405_15,405_16,405_17,405_18,405_19,405_20,405_21,405_22,405_23,405_24,405_25,405_26,405_27,405_28,405_ssuo_3,405_29,405_so_2,405_30,405_ssuo_4,405_31,405_so_3,405_32,405_ssuo_5,405_33,405_so_4,405_34,405_ssuo_6,405_35,405_so_5,405_36,405_ssuo_7,405_37,405_suo,405_38,405_suo_1,405_39,405_suo_2,405_40,405_suo_3,405_41,405_suo_4,405_42,405_suo_5,405_43,405_suo_6,405_44,407,407_1,407_2,407_3,407_4,407_5,407_6,407_7,407_8,407_9,407_10,407_11,407_12,407_13,407_14,407_15,407_16,407_17,407_18,407_19,407_20,407_21,407_22,407_23,407_24,407_25,407_26,407_27,407_28,407_29,409,409_1,409_2,409_3,409_so,409_4,409_5,409_6,409_7,409_8,409_9,409_10,409_11,409_12,409_13,409_14,409_15,409_16,409_17,409_18,409_19,409_20,409_21,409_22,409_23,409_24,409_25,409_26,409_suo,409_27,409_28,409_29,409_suo_1,409_30,409_31,409_32,409_suo_2,409_33,409_34,409_35,409_suo_3,409_36,409_37,409_38,409_suo_4,409_39,409_40,409_41,409_suo_5,409_42,409_43,409_44,409_suo_6,409_45,409_46,409_47,409_suo_7,409_48,409_49,409_50,409_suo_8,409_51,409_52,409_53,409_suo_9,409_54,409_55,409_56,409_suo_10,409_57,409_58,409_59,409_suo_11,409_60,409_61,409_62,409_suo_12,409_63,409_64,409_65,409_suo_13,409_66,409_67,409_fo,409_tho,409_so_1,409_suo_14,409_fo_1,409_68,409_69,409_70,409_suo_15,409_71,409_72,409_73,409_suo_16,409_74,409_75,409_76,409_77,409_78,409_79,409_80,409_81,409_82,409_83,409_84,409_85,409_86,409_87,409_88,409_89,409_90,409_91,409_92,409_93
Kingston Rd (Manor Drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:36,07:08,07:38,08:07,08:43,09:07,09:38,10:07,10:38,11:07,11:38,12:07,12:38,13:07,13:38,14:07,14:38,15:07,15:38,16:07,16:38,17:07,17:38,18:07,18:38,19:07,20:07,21:07,22:07,23:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylors Hill Rd (Threadneedle Junct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:37,07:09,07:39,08:09,08:46,09:09,09:39,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:39,15:09,15:39,16:09,16:40,17:09,17:39,18:09,18:39,19:09,20:08,21:08,22:08,23:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylors Hill Rd (Opp Ardmore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:38,07:09,07:39,08:09,08:47,09:09,09:40,10:09,10:40,11:09,11:40,12:09,12:40,13:09,13:40,14:09,14:40,15:09,15:40,16:09,16:40,17:09,17:40,18:09,18:40,19:09,20:08,21:08,22:08,23:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylors Hill Rd (Highfield Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:38,07:10,07:40,08:10,08:49,09:10,09:41,10:10,10:41,11:10,11:41,12:10,12:40,13:10,13:40,14:10,14:41,15:10,15:41,16:10,16:41,17:10,17:40,18:10,18:40,19:10,20:09,21:09,22:09,23:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylors Hill Rd (Opp St Annes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:39,07:11,07:41,08:11,08:51,09:11,09:42,10:11,10:42,11:11,11:42,12:11,12:42,13:11,13:42,14:11,14:43,15:11,15:43,16:11,16:43,17:11,17:42,18:11,18:42,19:11,20:10,21:10,22:10,23:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maunsells Rd (Opp Maunsells Rd Jct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:40,07:12,07:42,08:12,08:52,09:12,09:43,10:12,10:43,11:12,11:43,12:12,12:43,13:12,13:43,14:12,14:44,15:12,15:44,16:12,16:44,17:11,17:43,18:11,18:43,19:11,20:10,21:10,22:10,23:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maunsells Rd (Higgins DIY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:41,07:13,07:43,08:13,08:54,09:13,09:44,10:13,10:44,11:13,11:44,12:13,12:44,13:13,13:44,14:13,14:45,15:13,15:45,16:13,16:45,17:12,17:44,18:12,18:44,19:12,20:11,21:11,22:11,23:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colmcille Rd (Scoil Bride),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:41,07:14,07:44,08:13,08:54,09:13,09:45,10:13,10:45,11:13,11:45,12:13,12:44,13:13,13:44,14:13,14:45,15:13,15:45,16:13,16:46,17:13,17:45,18:13,18:44,19:13,20:12,21:12,22:12,23:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colmcille Rd (Opp Community Centre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:42,07:14,07:44,08:14,08:55,09:14,09:45,10:14,10:45,11:14,11:45,12:14,12:45,13:14,13:45,14:14,14:46,15:14,15:46,16:14,16:46,17:13,17:45,18:13,18:45,19:13,20:12,21:12,22:12,23:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costello Rd (Opp McDara Rd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:42,07:15,07:45,08:15,08:56,09:15,09:46,10:15,10:46,11:15,11:46,12:15,12:46,13:15,13:46,14:15,14:47,15:15,15:47,16:15,16:47,17:14,17:46,18:14,18:46,19:14,20:13,21:13,22:13,23:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costello Rd (HSE Clinic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:43,07:16,07:46,08:15,08:56,09:15,09:47,10:15,10:47,11:15,11:47,12:15,12:46,13:16,13:46,14:16,14:48,15:16,15:48,16:16,16:48,17:15,17:47,18:15,18:46,19:15,20:14,21:14,22:14,23:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Rd (University Hospital),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:44,07:17,07:47,08:16,08:58,09:16,09:48,10:16,10:48,11:16,11:48,12:16,12:47,13:17,13:47,14:17,14:49,15:17,15:49,16:17,16:50,17:16,17:48,18:16,18:47,19:16,20:15,21:15,22:15,23:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Of Galway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:45,07:18,07:48,08:18,09:00,09:18,09:50,10:18,10:50,11:18,11:50,12:18,12:50,13:19,13:50,14:19,14:51,15:19,15:51,16:19,16:53,17:18,17:51,18:18,18:50,19:18,20:16,21:16,22:16,23:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Rd (Opp Cathedral),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:45,07:19,07:49,08:18,09:01,09:18,09:51,10:18,10:51,11:18,11:51,12:18,12:51,13:20,13:51,14:20,14:53,15:20,15:53,16:20,16:55,17:18,17:53,18:18,18:51,19:18,20:17,21:17,22:17,23:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis St (Opp Abbey Church),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:47,07:21,07:51,08:20,09:03,09:20,09:53,10:20,10:53,11:20,11:53,12:20,12:53,13:22,13:53,14:22,14:56,15:22,15:56,16:22,16:59,17:20,17:56,18:20,18:53,19:20,20:18,21:18,22:18,23:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyre Square North (Stop No 1)ARR. DEP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:48 06:53,07:23 07:28,07:53 07:58,08:21 08:26,09:05 09:08,09:21 09:26,09:55 10:00,10:21 10:26,10:55 11:00,11:21 11:26,11:55 12:00,12:21 12:26,12:55 13:00,13:23 13:28,13:55 14:00,14:23 14:28,14:58 15:03,15:23 15:28,15:58 16:03,16:24 16:29,17:01 17:01,17:22 17:27,17:58 18:00,18:22 18:27,18:55 19:00,19:22 19:27,20:19 20:24,21:19 21:24,22:19 22:24,23:19 23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Hill (Fahys Pub),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:54,07:29,07:59,08:27,09:10,09:27,10:01,10:27,11:01,11:27,12:01,12:27,13:02,13:29,14:02,14:29,15:06,15:29,16:06,16:30,17:03,17:28,18:03,18:28,19:02,19:28,20:25,21:25,22:25,23:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohermore (Opp Tonerys Pub),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:55,07:29,07:59,08:28,09:10,09:28,10:02,10:28,11:02,11:28,12:02,12:28,13:02,13:30,14:02,14:30,15:06,15:30,16:06,16:31,17:04,17:29,18:04,18:29,19:02,19:29,20:26,21:26,22:26,23:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohermore (Liam Mellows Tce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:55,07:30,08:00,08:28,09:11,09:28,10:02,10:28,11:02,11:28,12:02,12:28,13:03,13:30,14:03,14:30,15:07,15:30,16:07,16:31,17:05,17:29,18:06,18:29,19:03,19:29,20:26,21:26,22:26,23:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohermore (Spar Filling Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:56,07:31,08:01,08:29,09:12,09:29,10:03,10:29,11:03,11:29,12:03,12:29,13:04,13:31,14:04,14:31,15:08,15:31,16:08,16:32,17:07,17:30,18:08,18:30,19:04,19:30,20:27,21:27,22:27,23:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin Rd (G Hotel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:58,07:32,08:02,08:31,09:14,09:31,10:05,10:31,11:05,11:31,12:05,12:31,13:07,13:33,14:07,14:33,15:10,15:33,16:10,16:34,17:11,17:32,18:12,18:32,19:07,19:32,20:29,21:29,22:29,23:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin Rd (Opp Renmore Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,06:59,07:34,08:04,08:32,09:15,09:32,10:07,10:32,11:07,11:32,12:07,12:32,13:08,13:34,14:08,14:34,15:12,15:34,16:12,16:35,17:13,17:33,18:13,18:33,19:08,19:33,20:30,21:30,22:30,23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renmore Rd (Bon Secours Hosp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,07:00,07:35,08:05,08:33,09:18,09:33,10:08,10:33,11:08,11:33,12:08,12:33,13:10,13:36,14:10,14:36,15:14,15:36,16:14,16:37,17:15,17:35,18:15,18:35,19:10,19:35,20:31,21:31,22:31,23:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renmore Rd (Opp Molloys Centra),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,07:00,07:35,08:05,08:34,09:18,09:34,10:09,10:34,11:09,11:34,12:09,12:34,13:10,13:36,14:10,14:36,15:15,15:36,16:15,16:38,17:16,17:35,18:16,18:35,19:10,19:35,20:31,21:31,22:31,23:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renmore Rd (Dun Na Mara),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,07:01,07:36,08:06,08:34,09:19,09:34,10:10,10:34,11:10,11:34,12:10,12:34,13:11,13:37,14:11,14:37,15:16,15:37,16:16,16:38,17:17,17:36,18:17,18:36,19:11,19:36,20:32,21:32,22:32,23:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renmore Rd (Opp Army Barracks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,07:01,07:37,08:07,08:35,09:19,09:35,10:10,10:35,11:10,11:35,12:10,12:35,13:12,13:37,14:12,14:37,15:16,15:37,16:16,16:39,17:18,17:36,18:18,18:36,19:12,19:36,20:32,21:32,22:32,23:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawthorne Drive (Blackthorn Pk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,07:02,07:38,08:08,08:36,09:21,09:36,10:12,10:36,11:12,11:36,12:12,12:36,13:13,13:38,14:13,14:38,15:18,15:38,16:18,16:40,17:19,17:37,18:19,18:37,19:13,19:37,20:33,21:33,22:33,23:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawthorn Drive (Rowan Ave),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,07:03,07:39,08:09,08:36,09:21,09:36,10:12,10:36,11:12,11:36,12:12,12:36,13:14,13:39,14:14,14:39,15:19,15:39,16:19,16:40,17:20,17:38,18:20,18:38,19:14,19:38,20:34,21:34,22:34,23:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
